global_step,wall_iso,restart_epoch,validation_accuracy,dual_clip_fraction,response_width_hit_fraction,cap_hit_rate,t_testing,policy_loss,learning_rate,grad_norm,entropy,kl,clip_fraction,clip_fraction_low,clip_fraction_high,reward_mean,reward_std,reward_max,reward_min,advantage_mean,advantage_std,advantage_min,advantage_max,n_prompts,rollout_n,n_groups,all_correct_groups,all_wrong_groups,mixed_groups,zero_std_groups,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,zero_std_group_ratio,effective_signal_groups,effective_signal_fraction,group_reward_std_mean,verifier_correct,verifier_incorrect,verifier_parse_failure,verifier_exception,verifier_truncated,response_length_mean,response_length_median,response_length_p95,response_length_max,truncation_rate,eos_rate,total_num_tokens,tokens_per_second,t_rollout,t_old_logprob,t_ref_logprob,t_adv,t_reward,t_actor_update,t_weight_sync,t_checkpoint,t_step,pct_rollout,pct_reward,pct_logprob,pct_actor_update,pct_weight_sync,pct_other,rollout_policy_step,consumer_update_step,policy_staleness_steps,policy_staleness_max,trajectory_span_mean,rollout_train_prob_corr,rollout_train_prob_diff_mean,rollout_train_prob_diff_max,rollout_train_kl,actor_peak_mem_gb,actor_reserved_mem_gb,mfu_actor,kl_loss,value_mean,value_max,value_min,returns_mean,returns_max,returns_min,explained_variance,value_loss,value_clip_fraction,t_critic_update,peak_vram_gpu0,peak_vram_gpu1,peak_vram_gpu2,peak_vram_gpu3
1,2026-09-11T10:20:58,0,,0.0,0.0078125,,,0.008159431745298207,1e-06,0.23696143180131912,0.35268789529800415,-4.0809908981032095e-06,7.870829449529992e-05,,,-0.46875,0.8833308765689106,1.0,-1.0,0.005016735754907131,,-2.474870204925537,2.474870204925537,16,8.0,16,0,6,10,6,0.0,0.375,0.625,0.375,10,0.625,0.5432230043651346,,,,,,1666.875,,,5980.0,,,232568.0,491.5431658779949,38.357518661767244,9.224062483757734,26.607062716037035,0.12268225476145744,,31.049767281860113,3.9219458997249603,,118.28462693840265,32.43,,30.29,26.25,3.32,7.71,1.0,1,0.0,0.0,1.0,0.999604344367981,0.0029965939465910196,0.18577241897583008,0.00032046932028606534,48.84471035003662,61.169921875,0.6494947744208164,0.00015209832235996146,,,,0.005016735754907131,2.474870204925537,-2.474870204925537,,,,,86.937,92.159,92.441,92.441
2,2026-09-11T10:20:58,0,,0.0,0.0078125,,,0.0020928282174281776,1e-06,0.2685806006193161,0.34514349699020386,6.713838843097619e-06,0.0001293917111979681,,,-0.1875,0.982264602843857,1.0,-1.0,-0.04492545872926712,,-2.474870204925537,2.474870204925537,16,8.0,16,1,5,10,6,0.0625,0.3125,0.625,0.375,10,0.625,0.5471922747961527,,,,,,1735.875,,,5198.0,,,242528.0,677.695627451501,36.353756569325924,8.715255681425333,8.51329530403018,0.11326789483428001,,31.693397145718336,4.051808349788189,,89.46789317205548,40.63,,19.26,35.42,4.53,0.16,2.0,2,0.0,0.0,1.0,0.9995834827423096,0.0029335932340472937,0.1950993686914444,0.00031356787076219916,49.89003610610962,62.537109375,0.6654303693275421,0.00032288919646816794,,,,-0.04492545872926712,2.474870204925537,-2.474870204925537,,,,,86.937,92.159,92.441,92.441
3,2026-09-11T10:20:58,0,,0.0,0.0078125,,,0.00669406505767256,1e-06,0.25056295096874237,0.42828264832496643,-4.668831968501763e-05,7.571149126306409e-05,,,-0.515625,0.8568143669284497,1.0,-1.0,-0.012233470566570759,,-1.6201833486557007,2.474870204925537,16,8.0,16,0,7,9,7,0.0,0.4375,0.5625,0.4375,9,0.5625,0.4935097278662777,,,,,,1737.84375,,,5979.0,,,245196.0,665.2519509599339,38.35343421623111,8.831030666828156,8.624546643346548,0.12837637960910797,,32.151248190551996,4.032402910292149,,92.14403642341495,41.62,,18.94,34.89,4.38,0.16,3.0,3,0.0,0.0,1.0,0.9996181726455688,0.0032258694991469383,0.18699783086776733,0.000460164766991511,49.89003610610962,62.771484375,0.6646014154072011,0.000374229497538181,,,,-0.012233470566570759,2.474870204925537,-1.6201833486557007,,,,,86.937,92.159,92.441,92.441
4,2026-09-11T10:20:58,0,,0.0,0.0078125,,,-0.014583690441213548,1e-06,0.2765427604317665,0.33566978573799133,-2.316953214176465e-06,0.00013704547518500476,,,-0.0625,0.998044963916957,1.0,-1.0,-0.006274440325796604,,-2.474870204925537,2.474870204925537,16,8.0,16,1,3,12,4,0.0625,0.1875,0.75,0.25,12,0.75,0.6323006792890827,,,,,,1637.1484375,,,8192.0,,,229019.0,573.5562689496372,48.365765795111656,8.402569767087698,8.24193812161684,0.12076715379953384,,30.82265055552125,3.8402426838874817,,99.82412031665444,48.45,,16.67,30.88,3.85,0.15,4.0,4,0.0,0.0,1.0,0.9996016621589661,0.0028465704526752234,0.2310308814048767,0.0003973538987338543,49.89003610610962,62.771484375,0.6494930068222176,0.000370259565897868,,,,-0.006274440325796604,2.474870204925537,-2.474870204925537,,,,,86.937,92.159,92.441,92.441
5,2026-09-11T10:20:58,0,,0.0,0.0234375,,,0.0028843680629506707,1e-06,0.19708006083965302,0.23578892648220062,1.6927497767937894e-05,8.887194530871056e-05,,,-0.1875,0.982264602843857,1.0,-1.0,0.013546351343393326,,-2.474870204925537,2.474870204925537,16,8.0,16,3,6,7,9,0.1875,0.375,0.4375,0.5625,7,0.4375,0.3744636335128051,,,,,,1723.9375,,,8192.0,,,239648.0,588.5774443574728,48.36955415084958,8.725296340882778,8.579903814941645,0.1291581094264984,,31.921732306480408,4.043077472597361,,101.79119260236621,47.52,,17.0,31.36,3.97,0.15,5.0,5,0.0,0.0,1.0,0.9995203018188477,0.002070010406896472,0.2292153239250183,0.0003004896570928395,49.89003610610962,62.96875,0.657608916016166,0.00039593602923559956,,,,0.013546351343393326,2.474870204925537,-2.474870204925537,,,,,86.937,92.159,92.441,92.441
6,2026-09-11T10:20:58,0,,0.0,0.0078125,,,0.021644398337230086,1e-06,0.2917567789554596,0.29520151019096375,-9.0890691808454e-06,0.00024071802727121394,,,0.1875,0.982264602843857,1.0,-1.0,-0.011283609084784985,,-2.474870204925537,2.474870204925537,16,8.0,16,1,1,14,2,0.0625,0.0625,0.875,0.125,14,0.875,0.6938294414004517,,,,,,1455.5234375,,,4795.0,,,203507.0,674.5709335234296,30.348320595920086,7.292701065540314,7.192301113158464,0.11388332396745682,,26.580287896096706,3.870953969657421,,75.42090456560254,40.24,,19.21,35.24,5.13,0.18,6.0,6,0.0,0.0,1.0,0.9995449185371399,0.002736479975283146,0.1422911286354065,0.000251580000622198,49.89003610610962,62.96875,0.6623549144244425,0.0006500090603367426,,,,-0.011283609084784985,2.474870204925537,-2.474870204925537,,,,,86.937,92.159,92.441,92.441
7,2026-09-11T10:20:58,0,,0.0,0.0078125,,,0.03071501897647977,1e-06,0.2877662181854248,0.36519548296928406,-5.548426997847855e-07,0.0001803160932922765,,,-0.078125,0.9969435713093294,1.0,-1.0,-0.04985018074512482,,-2.474870204925537,2.474870204925537,16,8.0,16,3,4,9,7,0.1875,0.25,0.5625,0.4375,9,0.5625,0.4783034977481893,,,,,,1493.1171875,,,4734.0,,,213207.0,687.0839849795077,30.346693336963654,7.688960783183575,7.556171335279942,0.10643381997942924,,27.94768112897873,3.9070510044693947,,77.57676086947322,39.12,,19.65,36.03,5.04,0.17,7.0,7,0.0,0.0,1.0,0.9996349215507507,0.0029660549480468035,0.21636730432510376,0.0003769489412661642,49.89003610610962,62.96875,0.658349448815215,0.001271059358259663,,,,-0.04985018074512482,2.474870204925537,-2.474870204925537,,,,,86.937,92.159,92.441,92.441
8,2026-09-11T10:20:58,0,,0.0,0.0078125,,,-0.003777021716814488,1e-06,0.17715346813201904,0.26196256279945374,2.5218408154614735e-05,0.00015943499101922498,,,-0.15625,0.9877175393299442,1.0,-1.0,0.006888807285577059,,-2.474870204925537,2.474870204925537,16,8.0,16,4,5,7,9,0.25,0.3125,0.4375,0.5625,7,0.4375,0.34051677424704613,,,,,,1613.0703125,,,8192.0,,,226257.0,577.9029050523421,46.3648579120636,8.461958408355713,8.219776906073093,0.15177593380212784,,30.749237403273582,3.910025041550398,,97.87846627086401,47.37,,17.04,31.42,3.99,0.18,8.0,8,0.0,0.0,1.0,0.9996010065078735,0.0024414195213466883,0.1548430621623993,0.0002627930080052465,49.89003610610962,62.96875,0.6446346504294319,0.0015918064127617981,,,,0.006888807285577059,2.474870204925537,-2.474870204925537,,,,,86.937,92.159,92.441,92.441
9,2026-09-11T10:20:58,0,,0.0,0.0078125,,,0.028295446885749698,1e-06,0.251394659280777,0.3341643512248993,4.0412773955722514e-05,0.00015772408960401663,,,-0.15625,0.9877175393299442,1.0,-1.0,-0.09351342171430588,,-2.474870204925537,2.474870204925537,16,8.0,16,2,5,9,7,0.125,0.3125,0.5625,0.4375,9,0.5625,0.4763188625326802,,,,,,1652.03125,,,8192.0,,,234620.0,590.9649365874735,46.371601831167936,8.618380475789309,8.438189141452312,0.15025046467781067,,31.73167872056365,3.917862929403782,,99.25292748957872,46.72,,17.18,31.97,3.95,0.18,9.0,9,0.0,0.0,1.0,0.9995647072792053,0.0028977578040212393,0.24135568737983704,0.0002485747099854052,50.07071781158447,62.96875,0.6486450565545825,0.0020297297051001806,,,,-0.09351342171430588,2.474870204925537,-2.474870204925537,,,,,86.937,92.159,92.441,92.441
10,2026-09-11T10:20:58,0,0.48,0.0,0.0078125,,76.73743662238121,0.012772186542861164,1e-06,0.177559494972229,0.30201274156570435,2.40020649471262e-05,0.00015506264571740758,,,-0.171875,0.9851187666342571,1.0,-1.0,0.007395701017230749,,-2.474870204925537,2.474870204925537,16,8.0,16,2,5,9,7,0.125,0.3125,0.5625,0.4375,9,0.5625,0.4551587267680644,,,,,,2299.8671875,,,8192.0,,,315911.0,648.4946797890931,52.37194440886378,11.518341299146414,11.351704888045788,0.12794382497668266,,42.330374639481306,4.064495228230953,,121.78627282753587,43.0,,18.78,34.76,3.34,0.12,10.0,10,0.0,0.0,1.0,0.9995937943458557,0.002571722725406289,0.22360143065452576,0.0003161827917210758,52.690295696258545,66.46484375,0.6583766020384791,0.0017317045640083961,,,,0.007395701017230749,2.474870204925537,-2.474870204925537,,,,,86.937,92.159,92.441,92.441
