global_step,wall_iso,restart_epoch,validation_accuracy,dual_clip_fraction,response_width_hit_fraction,cap_hit_rate,t_testing,policy_loss,learning_rate,grad_norm,entropy,kl,clip_fraction,clip_fraction_low,clip_fraction_high,reward_mean,reward_std,reward_max,reward_min,advantage_mean,advantage_std,advantage_min,advantage_max,n_prompts,rollout_n,n_groups,all_correct_groups,all_wrong_groups,mixed_groups,zero_std_groups,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,zero_std_group_ratio,effective_signal_groups,effective_signal_fraction,group_reward_std_mean,verifier_correct,verifier_incorrect,verifier_parse_failure,verifier_exception,verifier_truncated,response_length_mean,response_length_median,response_length_p95,response_length_max,truncation_rate,eos_rate,total_num_tokens,tokens_per_second,t_rollout,t_old_logprob,t_ref_logprob,t_adv,t_reward,t_actor_update,t_weight_sync,t_checkpoint,t_step,pct_rollout,pct_reward,pct_logprob,pct_actor_update,pct_weight_sync,pct_other,rollout_policy_step,consumer_update_step,policy_staleness_steps,policy_staleness_max,trajectory_span_mean,rollout_train_prob_corr,rollout_train_prob_diff_mean,rollout_train_prob_diff_max,rollout_train_kl,actor_peak_mem_gb,actor_reserved_mem_gb,mfu_actor,kl_loss,value_mean,value_max,value_min,returns_mean,returns_max,returns_min,explained_variance,value_loss,value_clip_fraction,t_critic_update,peak_vram_gpu0,peak_vram_gpu1,peak_vram_gpu2,peak_vram_gpu3
1,2026-09-11T11:58:23,0,,0.0,0.0,,,0.047564899548888206,1e-06,0.347817987203598,0.3561743199825287,-1.17718798264832e-05,0.00010262014802719932,,,-0.17808914184570312,0.9851187666342571,1.0,-1.79541015625,-0.050328902900218964,,-2.474870204925537,2.474870204925537,16,8.0,16,0,0,16,0,0.0,0.0,1.0,0.0,16,1.0,0.9462159579843662,,,,,,1522.1953125,,,7773.0,,,214785.0,428.5701788131539,82.07228346914053,8.773220181465149,,0.0035322606563568115,9.783729910850525e-05,29.821354534476995,4.011325556784868,,125.29161536321044,65.51,0.0,,23.8,3.2,0.49,,1,,,,0.9995571374893188,0.003067224519327283,0.2042134702205658,0.0004089926660526544,44.80692529678345,60.986328125,0.6300879734314639,,,,,-0.050328902900218964,2.474870204925537,-2.474870204925537,,,,,84.349,90.001,89.952,89.952
2,2026-09-11T11:58:23,0,,0.0,0.0,,,0.01614146470092237,1e-06,0.3271342068910599,0.3828003704547882,6.852206297480734e-06,0.0001372175302094547,,,-0.328125,0.9596345332990055,1.0,-1.0,-0.014321126975119114,,-1.6201833486557007,2.474870204925537,16,8.0,16,0,2,14,2,0.0,0.125,0.875,0.125,14,0.875,0.7956516803872961,,,,,,1576.0390625,,,5156.0,,,223765.0,513.8138584491112,66.99449070170522,8.034460477530956,,0.002788681536912918,9.204074740409851e-05,29.320345625281334,4.011368300765753,,108.8745448961854,61.53,0.0,,26.93,3.68,0.47,,2,,,,0.9995911121368408,0.0030115973204374313,0.15295088291168213,0.0003459917788859457,44.80692529678345,60.986328125,0.664978427215132,,,,,-0.014321126975119114,2.474870204925537,-1.6201833486557007,,,,,84.349,90.001,89.952,89.952
3,2026-09-11T11:58:23,0,,0.0,0.0,,,0.06598878488875926,1e-06,0.29171451181173325,0.24126623570919037,6.142587153590284e-06,8.74307283993403e-05,,,0.0,1.0,1.0,-1.0,-0.06028195470571518,,-2.474870204925537,2.474870204925537,16,8.0,16,0,0,16,0,0.0,0.0,1.0,0.0,16,1.0,0.9550334110544911,,,,,,1357.171875,,,5056.0,,,192350.0,416.3521340743789,78.68131329491735,6.884052701294422,,0.003755662590265274,0.00010145828127861023,25.38803928717971,4.014131087809801,,115.49718631058931,68.12,0.0,,21.98,3.48,0.46,,3,,,,0.9994441866874695,0.0023765747901052237,0.36792856454849243,0.0003376639215275645,44.80692529678345,60.986328125,0.654692424611624,,,,,-0.06028195470571518,2.474870204925537,-2.474870204925537,,,,,84.349,90.001,89.952,89.952
4,2026-09-11T11:58:23,0,,0.0,0.0,,,0.036106064449995756,1e-06,0.2639516144990921,0.2957705557346344,5.6121808711395715e-05,0.00012877372000730247,,,-0.09375,0.9721462643938925,1.0,-1.0,-0.03744149208068848,,-2.474870204925537,2.474870204925537,16,8.0,16,0,0,16,0,0.0,0.0,1.0,0.0,16,1.0,0.9250649916249667,,,,,,1749.546875,,,5885.0,,,246910.0,560.0497542875147,63.38242397457361,9.263886585831642,,0.002825077623128891,0.0001323707401752472,33.04082741215825,3.9998447485268116,,110.21788604930043,57.51,0.0,,29.98,3.63,0.48,,4,,,,0.9995835423469543,0.002610092516988516,0.17918157577514648,0.0002430164604447782,44.80692529678345,61.455078125,0.6521385163522195,,,,,-0.03744149208068848,2.474870204925537,-2.474870204925537,,,,,84.349,90.001,89.952,89.952
5,2026-09-11T11:58:23,0,,0.0,0.0,,,0.07996468432247639,1e-06,0.26952099800109863,0.32696986198425293,-1.4476554497377947e-05,0.00010930560802080436,,,-0.12502288818359375,0.9499177595981665,1.0,-1.0029296875,-0.07315967977046967,,-2.474870204925537,2.474870204925537,16,8.0,16,0,1,15,1,0.0,0.0625,0.9375,0.0625,15,0.9375,0.8605803564094575,,,,,,1626.296875,,,6150.0,,,231638.0,466.15405104347536,80.25076078996062,8.317384351044893,,0.002911083400249481,0.00016700103878974915,30.6654088832438,4.407040722668171,,124.22824572771788,64.6,0.0,,24.68,3.55,0.47,,5,,,,0.9995687007904053,0.00276415073312819,0.14361119270324707,0.000301531283184886,45.416948318481445,61.591796875,0.6594517335998351,,,,,-0.07315967977046967,2.474870204925537,-2.474870204925537,,,,,84.349,90.001,89.952,89.952
6,2026-09-11T11:58:23,0,,0.0,0.0,,,0.002785787917673588,1e-06,0.28776437044143677,0.373566597700119,2.177041960749193e-05,9.604996512280195e-05,,,-0.1261138916015625,1.0,1.0,-1.0,-0.0010194960050284863,,-2.474870204925537,2.474870204925537,16,8.0,16,0,0,16,0,0.0,0.0,1.0,0.0,16,1.0,0.9358579105053845,,,,,,1884.015625,,,6436.0,,,265218.0,586.2577285817367,63.44470535963774,9.574353411793709,,0.0035016871988773346,0.00010735169053077698,35.44795025140047,4.032216601073742,,113.0978693626821,56.1,0.0,,31.34,3.57,0.53,,6,,,,0.99962317943573,0.003049201797693968,0.132338285446167,0.0003856205439660698,45.416948318481445,62.724609375,0.6544209116149178,,,,,-0.0010194960050284863,2.474870204925537,-2.474870204925537,,,,,84.349,90.001,89.952,89.952
7,2026-09-11T11:58:23,0,,0.0,0.0,,,0.05569930002093315,1e-06,0.31763433665037155,0.33338549733161926,-1.5177096202023677e-05,0.00015323788647947367,,,0.109375,0.9791528146183311,1.0,-1.0,-0.05843482166528702,,-2.474870204925537,2.474870204925537,16,8.0,16,0,1,15,1,0.0,0.0625,0.9375,0.0625,15,0.9375,0.866969133457421,,,,,,1469.8671875,,,5248.0,,,206727.0,470.98928393763424,70.42384388670325,7.416120927780867,,0.0031310059130191803,0.00010329857468605042,27.360558927059174,3.9468277506530285,,109.73020355775952,64.18,0.0,,24.93,3.6,0.53,,7,,,,0.9995496869087219,0.002964057493954897,0.4095795154571533,0.00029405514942482114,45.416948318481445,62.724609375,0.6570022688000229,,,,,-0.05843482166528702,2.474870204925537,-2.474870204925537,,,,,84.349,90.001,89.952,89.952
8,2026-09-11T11:58:23,0,,0.0,0.0,,,0.08299246057868004,1e-06,0.3062981218099594,0.34535250067710876,-4.4034480197296944e-05,0.00010978344653267413,,,0.046875,0.9851187666342571,1.0,-1.0,-0.08647266030311584,,-2.474870204925537,2.474870204925537,16,8.0,16,0,0,16,0,0.0,0.0,1.0,0.0,16,1.0,0.9442404921740732,,,,,,1518.78125,,,3599.0,,,214556.0,515.3602971376616,64.24667801335454,7.597357556223869,,0.0029385723173618317,0.00010279566049575806,27.67669190093875,4.029168795794249,,104.0805826485157,61.73,0.0,,26.59,3.87,0.51,,8,,,,0.9995748400688171,0.002919106977060437,0.17917153239250183,0.00041834020521491766,45.416948318481445,62.724609375,0.6713151884208359,,,,,-0.08647266030311584,2.474870204925537,-2.474870204925537,,,,,84.349,90.001,89.952,89.952
9,2026-09-11T11:58:23,0,,0.0,0.0,,,0.05688507074955851,1e-06,0.35399432480335236,0.3104524612426758,2.931546760009951e-05,0.0001368030807498144,,,0.15625,0.9877175393299442,1.0,-1.0,-0.057153526693582535,,-2.474870204925537,2.474870204925537,16,8.0,16,0,0,16,0,0.0,0.0,1.0,0.0,16,1.0,0.9270496268404758,,,,,,1262.8671875,,,3417.0,,,180359.0,522.1208251068844,51.99750545993447,6.426041770726442,,0.0030591413378715515,0.00010041147470474243,23.576386857777834,3.8518689423799515,,86.35884230583906,60.21,0.0,,27.3,4.46,0.59,,9,,,,0.999419629573822,0.0029340777546167374,0.16654324531555176,0.0003270533634349704,45.416948318481445,62.724609375,0.6691456624845578,,,,,-0.057153526693582535,2.474870204925537,-2.474870204925537,,,,,84.349,90.001,89.952,89.952
10,2026-09-11T11:58:23,0,0.48,0.0,0.0,,77.49790682643652,0.025637435726821423,1e-06,0.2692812532186508,0.29235848784446716,-2.0642399931602995e-05,0.000144801517308224,,,-0.046875,0.939061200082295,1.0,-1.0,-0.026757046580314636,,-2.474870204925537,2.474870204925537,16,8.0,16,1,0,15,1,0.0625,0.0,0.9375,0.0625,15,0.9375,0.8286273017644239,,,,,,1754.953125,,,5514.0,,,245810.0,494.52424106020356,78.86132263019681,8.77895500510931,,0.002928074449300766,9.409710764884949e-05,32.091973543167114,3.985815115272999,,124.26590022817254,63.46,0.0,,25.83,3.21,0.44,,10,,,,0.9995668530464172,0.00265772407874465,0.2235184758901596,0.00031692240736447275,46.034722328186035,62.724609375,0.6702888398453049,,,,,-0.026757046580314636,2.474870204925537,-2.474870204925537,,,,,84.349,90.001,89.952,89.952
